Z [inches],OD1,OD2,OD3,OD4,OD5
1.0650,92.863,93.311,92.548,94.000,92.056
1.0675,91.117,91.370,92.272,92.592,92.349
1.0700,91.938,92.975,94.877,94.599,92.144
1.0725,93.767,92.719,94.314,97.028,94.025
1.0750,93.056,92.996,93.319,93.387,92.260
1.0775,93.938,93.615,93.579,93.381,92.952
1.0800,93.141,92.404,93.144,93.374,93.000
1.0825,92.136,93.796,92.938,92.468,92.220
1.0850,93.879,93.013,93.593,94.000,93.467
1.0875,92.224,93.753,92.594,94.000,92.090
1.0900,91.966,90.321,92.076,92.000,90.302
1.0925,91.120,93.375,92.917,91.019,90.208
1.0950,94.712,93.560,93.929,93.667,94.725
1.0975,92.186,93.010,92.758,92.674,92.809
1.1000,91.063,92.018,91.629,92.319,91.820
1.1025,91.946,92.525,92.650,92.625,91.044
1.1050,92.038,93.042,93.089,93.611,91.942
1.1075,92.970,90.598,93.057,92.299,92.245
1.1100,93.041,92.953,93.427,94.708,92.774
1.1125,93.146,95.451,93.575,92.855,92.570
1.1150,91.079,94.010,93.472,93.278,92.975
1.1175,93.674,93.962,93.649,95.000,92.833
1.1200,92.975,93.019,93.419,93.264,92.046
1.1225,92.908,93.526,93.542,94.258,92.233
1.1250,92.897,91.587,92.962,93.251,92.017
1.1275,93.718,92.427,93.303,92.756,91.690
1.1300,92.225,93.113,93.130,94.763,91.980
1.1325,90.510,91.188,91.168,92.000,91.348
1.1350,90.162,90.185,89.972,89.777,90.411
1.1375,88.570,89.426,90.351,88.433,88.912
1.1400,89.123,89.987,90.932,91.580,89.692
1.1425,90.886,90.978,91.662,89.203,89.269
1.1450,92.112,92.208,93.307,94.412,93.872
1.1475,92.380,91.641,94.300,92.811,92.507
1.1500,92.770,93.590,95.316,93.818,92.582
1.1525,92.986,93.015,94.402,95.473,93.524
1.1550,91.338,92.362,90.548,92.338,91.555
1.1575,91.238,93.656,89.629,92.648,90.494
1.1600,91.015,93.001,93.156,93.155,91.905
1.1625,94.719,93.351,95.382,95.000,94.394
1.1650,94.743,96.306,94.467,95.859,94.617
1.1675,92.846,92.401,92.008,94.462,91.780
1.1700,92.044,92.578,92.366,92.383,91.482
1.1725,91.719,93.266,92.589,93.121,91.485
1.1750,91.043,93.275,92.391,92.342,90.556
1.1775,91.337,92.291,93.038,94.107,91.436
1.1800,93.523,91.282,92.324,92.900,93.365
1.1825,91.806,90.765,90.401,92.813,91.679
1.1850,89.828,88.072,90.567,89.087,89.215
1.1875,90.920,92.645,93.693,93.000,90.376
1.1900,93.573,93.753,95.044,94.927,92.754
1.1925,95.282,93.375,94.196,94.934,96.427
1.1950,91.643,92.813,92.492,93.881,92.295
1.1975,91.009,92.806,93.058,93.947,90.126
1.2000,92.871,95.013,94.772,94.909,92.811
1.2025,93.398,92.374,93.225,91.961,95.208
1.2050,90.499,89.740,91.346,91.000,89.965
1.2075,89.187,90.299,91.948,90.025,87.502
1.2100,91.216,93.896,93.136,94.000,91.269
1.2125,93.765,93.028,94.320,95.000,92.320
1.2150,93.551,94.226,94.380,94.995,94.488
1.2175,93.032,92.917,93.463,93.998,94.641
1.2200,92.994,92.667,93.714,94.009,93.106
1.2225,92.090,91.919,93.008,92.095,93.594
1.2250,90.680,88.393,91.396,90.068,90.239
1.2275,91.915,93.829,92.818,93.000,90.937
1.2300,92.794,93.255,92.777,94.891,91.834
1.2325,90.325,94.879,93.474,90.043,91.628
1.2350,91.770,93.002,93.813,92.950,91.974
1.2375,92.929,94.839,93.946,95.886,92.935
1.2400,93.938,93.948,93.841,95.000,93.262
1.2425,92.678,93.061,92.565,93.000,93.018
1.2450,92.600,91.064,90.787,91.077,91.820
1.2475,92.038,91.954,90.413,92.000,91.746
1.2500,90.480,91.043,91.855,91.000,89.640
1.2525,91.553,91.968,91.918,93.902,90.900
1.2550,89.235,91.020,91.762,90.895,89.772
1.2575,89.614,90.917,91.489,91.777,90.183
1.2600,90.916,91.055,91.264,92.000,90.948
1.2625,90.676,89.998,91.301,91.000,90.066
1.2650,88.415,90.919,91.007,91.604,88.495
1.2675,88.588,91.854,91.905,91.861,89.476
1.2700,89.807,91.932,92.420,91.854,90.133
1.2725,94.009,93.784,93.618,94.543,92.967
1.2750,91.721,93.994,92.972,94.681,93.011
1.2775,91.971,93.820,92.701,93.834,92.207
1.2800,91.540,93.894,93.653,93.481,91.605
1.2825,91.237,93.675,93.037,92.640,91.160
1.2850,91.230,92.791,92.604,92.813,91.240
1.2875,90.705,93.582,91.649,94.420,91.732
1.2900,87.627,90.826,89.685,88.800,87.424
1.2925,91.523,89.344,91.798,91.207,88.030
1.2950,94.080,91.089,93.001,91.428,92.415
1.2975,94.443,92.129,92.791,92.221,92.908
1.3000,93.870,92.970,92.967,93.228,92.928
1.3025,90.542,91.861,91.206,91.469,92.064
1.3050,89.878,90.251,89.816,91.000,90.966
1.3075,90.665,90.201,89.044,90.248,89.002
1.3100,90.984,90.210,90.803,91.000,89.923
1.3125,91.825,91.933,93.236,95.953,92.766
1.3150,91.993,92.219,93.991,93.269,92.068
1.3175,93.030,93.881,94.799,95.102,99.360
1.3200,93.943,93.274,93.604,93.565,96.265
1.3225,92.125,92.048,92.161,91.157,91.356
1.3250,89.188,90.584,90.699,89.184,91.002
1.3275,87.340,89.322,90.524,93.789,90.113
1.3300,90.806,91.352,90.989,91.000,90.004
1.3325,91.106,91.698,91.377,92.367,90.038
1.3350,90.092,91.315,91.073,92.000,90.933
1.3375,91.861,90.348,91.998,92.000,90.070
1.3400,92.000,91.628,92.919,92.337,91.797
1.3425,92.000,91.320,91.464,91.344,92.784
1.3450,91.986,91.014,91.968,92.000,91.981
1.3475,91.975,91.629,92.676,92.000,92.837
1.3500,91.060,92.324,91.677,92.364,91.970
1.3525,89.212,92.015,91.000,91.258,89.308
1.3550,90.829,91.397,91.641,91.378,89.937
1.3575,92.745,91.380,92.844,92.770,91.739
1.3600,91.115,91.602,91.548,92.000,91.188
1.3625,91.773,90.068,89.825,90.203,90.753
1.3650,90.205,90.390,90.811,90.405,89.269
1.3675,89.171,90.018,91.192,90.588,87.606
1.3700,89.230,90.550,90.952,92.162,89.979
1.3725,91.012,91.523,92.000,92.000,92.464
1.3750,93.276,91.981,92.000,92.865,91.466
1.3775,92.512,91.044,91.860,92.319,92.686
1.3800,92.030,92.397,92.189,92.554,91.323
1.3825,91.840,92.021,93.076,93.000,92.473
1.3850,91.989,91.542,92.266,93.000,92.040
1.3875,92.938,92.444,92.890,93.467,92.000
1.3900,92.062,92.971,92.818,94.526,92.704
1.3925,92.540,91.080,92.281,92.519,92.055
1.3950,92.035,91.953,92.124,92.487,91.523
1.3975,91.281,92.455,92.702,93.000,91.961
1.4000,92.181,91.389,93.457,93.499,92.254
1.4025,93.191,92.564,93.078,93.539,93.333
1.4050,93.759,92.127,92.220,93.029,92.649
1.4075,92.371,92.006,93.000,93.000,93.249
1.4100,92.955,91.589,92.890,92.528,91.171
1.4125,90.741,89.926,92.449,91.930,91.000
1.4150,91.262,90.945,92.000,93.542,91.926
1.4175,91.957,92.520,92.302,92.549,92.615
1.4200,92.000,92.604,92.699,93.556,92.019
1.4225,92.622,93.197,92.000,94.000,92.594
1.4250,91.103,92.060,92.609,92.569,92.048
1.4275,91.335,90.096,93.736,90.729,91.417
1.4300,93.243,92.855,92.908,93.583,92.304
1.4325,93.149,92.333,92.606,93.000,91.613
1.4350,91.499,90.113,91.989,91.597,91.410
1.4375,91.962,90.002,90.914,91.207,90.480
1.4400,90.508,90.001,90.588,90.390,90.414
1.4425,90.964,90.299,90.785,91.000,88.718
1.4450,91.666,90.965,91.627,92.000,89.891
1.4475,91.567,93.954,91.028,91.631,91.036
1.4500,91.972,93.460,92.617,92.000,92.027
1.4525,92.073,93.022,94.675,93.645,93.010
1.4550,91.562,92.744,93.414,93.651,92.082
1.4575,90.581,91.790,90.579,92.317,90.639
1.4600,87.695,90.329,90.233,91.335,89.594
1.4625,91.248,90.243,90.449,91.312,89.508
1.4650,89.132,90.012,90.363,90.000,88.577
1.4675,87.656,89.052,89.646,88.000,87.586
1.4700,90.225,92.177,91.567,91.308,89.776
1.4725,90.451,91.823,91.228,92.098,90.919
1.4750,91.903,91.042,91.861,92.706,91.000
1.4775,91.062,92.126,91.487,92.000,92.263
1.4800,89.523,90.286,89.899,90.280,89.673
1.4825,87.928,89.225,88.844,90.000,87.303
1.4850,89.863,88.701,89.029,90.467,90.034
1.4875,92.074,92.333,92.282,90.481,92.934
1.4900,92.952,92.703,94.360,93.988,92.853
1.4925,94.987,95.438,94.991,93.738,94.475
